tx_period_max,tx_period_min,cl_period_max,duty_cycle,rf_label
5.0,1.0,7.0,0.5,BL_Stream
3.0,1.0,5.0,0.375,BL_Stream
5.0,1.0,9.0,0.390625,BL_Stream
3.0,1.0,9.0,0.296875,BL_Stream
64.0,64.0,0.0,1.0,WiFi_Stream
18.0,18.0,38.0,0.28125,BL_Beacon
2.0,1.0,8.0,0.21875,BL_Stream
2.0,2.0,44.0,0.03125,BL_Beacon
2.0,1.0,20.0,0.09375,WiFi_Beacon
11.0,1.0,31.0,0.328125,Microwave_Oven
1.0,1.0,59.0,0.015625,BL_Beacon
1.0,1.0,9.0,0.203125,BL_Stream
61.0,2.0,1.0,0.984375,WiFi_Stream
2.0,1.0,12.0,0.21875,BL_Stream
4.0,1.0,9.0,0.3125,BL_Stream
3.0,1.0,18.0,0.265625,BL_Stream
2.0,1.0,20.0,0.125,WiFi_Beacon
2.0,1.0,30.0,0.078125,WiFi_Beacon
2.0,1.0,14.0,0.1875,BL_Stream
2.0,1.0,19.0,0.109375,WiFi_Beacon
3.0,1.0,8.0,0.296875,BL_Stream
3.0,1.0,6.0,0.359375,BL_Stream
2.0,1.0,10.0,0.125,WiFi_Beacon
63.0,63.0,1.0,0.984375,WiFi_Stream
49.0,14.0,1.0,0.984375,WiFi_Stream
64.0,64.0,0.0,1.0,Microwave_Oven
1.0,1.0,20.0,0.078125,WiFi_Beacon
2.0,1.0,18.0,0.125,WiFi_Beacon
2.0,1.0,10.0,0.140625,WiFi_Beacon
2.0,1.0,20.0,0.078125,WiFi_Beacon
3.0,1.0,11.0,0.25,BL_Stream
14.0,2.0,27.0,0.25,BL_Beacon
54.0,1.0,1.0,0.96875,WiFi_Stream
8.0,1.0,7.0,0.421875,BL_Stream
43.0,1.0,6.0,0.8125,Microwave_Oven
39.0,24.0,1.0,0.984375,WiFi_Stream
3.0,1.0,18.0,0.21875,BL_Stream
