tx_period_max,tx_period_min,cl_period_max,duty_cycle,rf_label
98.0,1.0,1.0,0.984375,WiFi_Stream
82.0,45.0,1.0,0.9921875,WiFi_Stream
3.0,1.0,18.0,0.21875,BL_Stream
8.0,1.0,7.0,0.4296875,BL_Stream
1.0,1.0,108.0,0.0078125,BL_Beacon
5.0,1.0,8.0,0.390625,BL_Stream
37.0,37.0,91.0,0.2890625,Microwave_Oven
3.0,1.0,12.0,0.2578125,BL_Stream
3.0,1.0,18.0,0.2578125,BL_Stream
5.0,1.0,8.0,0.3671875,BL_Stream
47.0,1.0,44.0,0.5546875,Microwave_Oven
2.0,1.0,30.0,0.0859375,WiFi_Beacon
4.0,1.0,9.0,0.3359375,BL_Stream
2.0,1.0,20.0,0.1015625,WiFi_Beacon
77.0,7.0,39.0,0.65625,Microwave_Oven
4.0,1.0,9.0,0.296875,BL_Stream
23.0,1.0,93.0,0.21875,Microwave_Oven
8.0,1.0,77.0,0.1171875,BL_Beacon
2.0,1.0,20.0,0.109375,WiFi_Beacon
1.0,1.0,116.0,0.0078125,BL_Beacon
99.0,1.0,1.0,0.984375,WiFi_Stream
72.0,55.0,1.0,0.9921875,WiFi_Stream
51.0,51.0,77.0,0.3984375,Microwave_Oven
3.0,3.0,94.0,0.0234375,BL_Beacon
23.0,1.0,92.0,0.203125,Microwave_Oven
50.0,1.0,1.0,0.96875,WiFi_Stream
1.0,1.0,83.0,0.0078125,BL_Beacon
38.0,1.0,49.0,0.5390625,Microwave_Oven
3.0,1.0,11.0,0.265625,BL_Stream
3.0,3.0,73.0,0.0234375,BL_Beacon
3.0,1.0,9.0,0.2734375,BL_Stream
2.0,2.0,125.0,0.015625,BL_Beacon
8.0,1.0,9.0,0.3984375,BL_Stream
1.0,1.0,75.0,0.0078125,BL_Beacon
126.0,1.0,1.0,0.9921875,WiFi_Stream
5.0,1.0,8.0,0.375,BL_Stream
94.0,33.0,1.0,0.9921875,WiFi_Stream
3.0,1.0,12.0,0.234375,BL_Stream
1.0,1.0,67.0,0.0078125,BL_Beacon
2.0,2.0,74.0,0.015625,BL_Beacon
64.0,63.0,1.0,0.9921875,WiFi_Stream
66.0,61.0,1.0,0.9921875,WiFi_Stream
49.0,21.0,1.0,0.9765625,WiFi_Stream
8.0,1.0,6.0,0.4375,BL_Stream
8.0,1.0,9.0,0.4375,BL_Stream
2.0,2.0,112.0,0.015625,BL_Beacon
3.0,1.0,18.0,0.296875,BL_Stream
110.0,17.0,1.0,0.9921875,WiFi_Stream
3.0,1.0,11.0,0.21875,BL_Stream
5.0,1.0,7.0,0.3671875,BL_Stream
2.0,1.0,18.0,0.1015625,WiFi_Beacon
97.0,2.0,23.0,0.8125,Microwave_Oven
10.0,4.0,56.0,0.109375,BL_Beacon
73.0,1.0,14.0,0.7734375,Microwave_Oven
2.0,1.0,14.0,0.1171875,WiFi_Beacon
105.0,22.0,1.0,0.9921875,WiFi_Stream
109.0,18.0,1.0,0.9921875,WiFi_Stream
25.0,1.0,63.0,0.2421875,Microwave_Oven
71.0,1.0,1.0,0.984375,WiFi_Stream
71.0,2.0,48.0,0.6015625,Microwave_Oven
75.0,5.0,2.0,0.9765625,WiFi_Stream
3.0,1.0,18.0,0.2421875,BL_Stream
3.0,1.0,11.0,0.3046875,BL_Stream
116.0,11.0,1.0,0.9921875,WiFi_Stream
1.0,1.0,88.0,0.0078125,BL_Beacon
8.0,1.0,8.0,0.390625,BL_Stream
