tx_period_max,tx_period_min,cl_period_max,duty_cycle,rf_label
3.0,1.0,11.0,0.359375,BL_Stream
29.0,9.0,1.0,0.96875,WiFi_Stream
3.0,1.0,7.0,0.265625,BL_Stream
4.0,1.0,14.0,0.296875,BL_Stream
40.0,2.0,1.0,0.96875,WiFi_Stream
37.0,7.0,1.0,0.96875,WiFi_Stream
24.0,17.0,1.0,0.96875,WiFi_Stream
3.0,3.0,33.0,0.046875,BL_Beacon
3.0,1.0,12.0,0.3125,BL_Stream
2.0,2.0,45.0,0.03125,BL_Beacon
14.0,2.0,27.0,0.25,BL_Beacon
13.0,2.0,32.0,0.234375,BL_Beacon
36.0,2.0,1.0,0.96875,WiFi_Stream
3.0,1.0,6.0,0.328125,BL_Stream
30.0,5.0,1.0,0.96875,WiFi_Stream
39.0,3.0,1.0,0.96875,WiFi_Stream
2.0,2.0,62.0,0.03125,Microwave_Oven
23.0,1.0,9.0,0.625,Microwave_Oven
34.0,1.0,1.0,0.96875,WiFi_Stream
53.0,1.0,2.0,0.953125,Microwave_Oven
3.0,1.0,7.0,0.234375,BL_Stream
54.0,1.0,4.0,0.890625,Microwave_Oven
6.0,6.0,58.0,0.09375,Microwave_Oven
5.0,1.0,5.0,0.4375,BL_Stream
20.0,1.0,17.0,0.59375,Microwave_Oven
13.0,2.0,34.0,0.234375,BL_Beacon
1.0,1.0,17.0,0.09375,WiFi_Beacon
35.0,4.0,1.0,0.96875,WiFi_Stream
16.0,2.0,45.0,0.28125,Microwave_Oven
1.0,1.0,35.0,0.015625,BL_Beacon
2.0,2.0,37.0,0.03125,BL_Beacon
3.0,3.0,35.0,0.046875,BL_Beacon
7.0,1.0,7.0,0.46875,BL_Stream
4.0,1.0,17.0,0.171875,BL_Stream
2.0,1.0,21.0,0.125,WiFi_Beacon
2.0,1.0,5.0,0.265625,BL_Stream
2.0,1.0,25.0,0.078125,WiFi_Beacon
3.0,1.0,13.0,0.171875,BL_Stream
9.0,1.0,8.0,0.484375,BL_Stream
14.0,14.0,50.0,0.21875,BL_Beacon
35.0,1.0,9.0,0.75,Microwave_Oven
30.0,1.0,1.0,0.953125,WiFi_Stream
1.0,1.0,40.0,0.015625,BL_Beacon
3.0,3.0,61.0,0.046875,BL_Beacon
40.0,9.0,14.0,0.765625,Microwave_Oven
5.0,1.0,7.0,0.421875,BL_Stream
26.0,1.0,26.0,0.5625,Microwave_Oven
6.0,1.0,6.0,0.40625,BL_Stream
51.0,51.0,13.0,0.796875,Microwave_Oven
3.0,3.0,40.0,0.046875,BL_Beacon
49.0,13.0,1.0,0.96875,WiFi_Stream
5.0,1.0,9.0,0.4375,BL_Stream
59.0,1.0,4.0,0.9375,Microwave_Oven
4.0,1.0,8.0,0.328125,BL_Stream
4.0,1.0,4.0,0.5,BL_Stream
23.0,1.0,29.0,0.4375,Microwave_Oven
5.0,1.0,5.0,0.390625,BL_Stream
2.0,1.0,30.0,0.0625,WiFi_Beacon
12.0,1.0,47.0,0.203125,BL_Beacon
18.0,18.0,42.0,0.28125,BL_Beacon
5.0,1.0,14.0,0.28125,BL_Stream
3.0,1.0,9.0,0.359375,BL_Stream
4.0,1.0,13.0,0.1875,BL_Stream
5.0,1.0,8.0,0.375,BL_Stream
4.0,1.0,7.0,0.390625,BL_Stream
47.0,15.0,2.0,0.96875,WiFi_Stream
4.0,1.0,9.0,0.4375,BL_Stream
24.0,19.0,1.0,0.96875,WiFi_Stream
1.0,1.0,30.0,0.0625,WiFi_Beacon
4.0,1.0,10.0,0.453125,BL_Stream
2.0,1.0,10.0,0.171875,BL_Stream
8.0,1.0,5.0,0.53125,BL_Stream
2.0,2.0,49.0,0.03125,BL_Beacon
37.0,37.0,27.0,0.578125,Microwave_Oven
21.0,5.0,1.0,0.953125,WiFi_Stream
2.0,1.0,14.0,0.09375,WiFi_Beacon
46.0,1.0,1.0,0.96875,WiFi_Stream
1.0,1.0,33.0,0.015625,BL_Beacon
12.0,1.0,46.0,0.203125,BL_Beacon
45.0,45.0,19.0,0.703125,Microwave_Oven
3.0,1.0,14.0,0.1875,BL_Stream
40.0,9.0,1.0,0.96875,WiFi_Stream
24.0,1.0,21.0,0.4375,Microwave_Oven
3.0,1.0,7.0,0.40625,BL_Stream
52.0,52.0,12.0,0.8125,Microwave_Oven
5.0,1.0,8.0,0.390625,BL_Stream
5.0,1.0,7.0,0.5,BL_Stream
4.0,1.0,6.0,0.328125,BL_Stream
43.0,20.0,1.0,0.984375,WiFi_Stream
50.0,2.0,10.0,0.8125,Microwave_Oven
3.0,1.0,7.0,0.359375,BL_Stream
3.0,1.0,7.0,0.25,BL_Stream
33.0,4.0,1.0,0.96875,WiFi_Stream
21.0,1.0,25.0,0.40625,Microwave_Oven
3.0,1.0,7.0,0.28125,BL_Stream
3.0,1.0,6.0,0.40625,BL_Stream
3.0,1.0,9.0,0.390625,BL_Stream
1.0,1.0,51.0,0.015625,BL_Beacon
