tx_period_max,tx_period_min,cl_period_max,duty_cycle,rf_label
8.0,8.0,118.0,0.0625,Microwave_Oven
26.0,26.0,102.0,0.203125,Microwave_Oven
11.0,11.0,116.0,0.0859375,BL_Beacon
3.0,1.0,10.0,0.3671875,BL_Stream
5.0,1.0,11.0,0.296875,BL_Stream
4.0,1.0,13.0,0.296875,BL_Stream
5.0,1.0,14.0,0.3359375,BL_Stream
57.0,22.0,1.0,0.984375,WiFi_Stream
10.0,5.0,70.0,0.1171875,BL_Beacon
6.0,1.0,14.0,0.296875,BL_Stream
75.0,20.0,1.0,0.984375,WiFi_Stream
10.0,4.0,71.0,0.109375,BL_Beacon
7.0,1.0,6.0,0.4453125,BL_Stream
5.0,1.0,7.0,0.40625,BL_Stream
6.0,1.0,8.0,0.375,BL_Stream
9.0,1.0,8.0,0.3984375,BL_Stream
101.0,101.0,27.0,0.7890625,Microwave_Oven
4.0,1.0,11.0,0.2890625,BL_Stream
121.0,1.0,2.0,0.9765625,Microwave_Oven
5.0,1.0,14.0,0.359375,BL_Stream
96.0,5.0,1.0,0.9765625,WiFi_Stream
3.0,1.0,17.0,0.25,BL_Stream
52.0,10.0,1.0,0.9765625,WiFi_Stream
3.0,3.0,93.0,0.0234375,BL_Beacon
62.0,1.0,64.0,0.4921875,Microwave_Oven
76.0,76.0,52.0,0.59375,Microwave_Oven
1.0,1.0,99.0,0.0078125,BL_Beacon
4.0,1.0,14.0,0.328125,BL_Stream
5.0,1.0,13.0,0.375,BL_Stream
4.0,1.0,13.0,0.3125,BL_Stream
1.0,1.0,117.0,0.0078125,BL_Beacon
12.0,2.0,84.0,0.109375,BL_Beacon
80.0,14.0,1.0,0.984375,WiFi_Stream
2.0,1.0,21.0,0.1015625,WiFi_Beacon
68.0,8.0,1.0,0.984375,WiFi_Stream
38.0,38.0,90.0,0.296875,Microwave_Oven
52.0,2.0,30.0,0.640625,Microwave_Oven
108.0,19.0,1.0,0.9921875,WiFi_Stream
2.0,2.0,123.0,0.015625,BL_Beacon
106.0,10.0,10.0,0.90625,Microwave_Oven
70.0,1.0,1.0,0.984375,WiFi_Stream
110.0,7.0,1.0,0.984375,WiFi_Stream
40.0,40.0,88.0,0.3125,Microwave_Oven
5.0,1.0,6.0,0.453125,BL_Stream
3.0,1.0,11.0,0.203125,BL_Stream
83.0,5.0,1.0,0.984375,WiFi_Stream
8.0,1.0,6.0,0.4296875,BL_Stream
42.0,42.0,86.0,0.328125,Microwave_Oven
84.0,3.0,1.0,0.984375,WiFi_Stream
49.0,9.0,1.0,0.9765625,WiFi_Stream
3.0,1.0,7.0,0.34375,BL_Stream
94.0,1.0,22.0,0.796875,Microwave_Oven
117.0,10.0,1.0,0.9921875,WiFi_Stream
3.0,3.0,108.0,0.0234375,BL_Beacon
2.0,1.0,21.0,0.1953125,BL_Stream
67.0,60.0,1.0,0.9921875,WiFi_Stream
103.0,24.0,1.0,0.9921875,WiFi_Stream
89.0,89.0,39.0,0.6953125,Microwave_Oven
101.0,4.0,1.0,0.9765625,WiFi_Stream
87.0,15.0,1.0,0.984375,WiFi_Stream
70.0,70.0,58.0,0.546875,Microwave_Oven
75.0,25.0,1.0,0.984375,WiFi_Stream
1.0,1.0,69.0,0.0078125,BL_Beacon
79.0,48.0,1.0,0.9921875,WiFi_Stream
121.0,1.0,3.0,0.953125,Microwave_Oven
94.0,94.0,34.0,0.734375,Microwave_Oven
1.0,1.0,125.0,0.0078125,Microwave_Oven
4.0,1.0,8.0,0.4296875,BL_Stream
120.0,5.0,3.0,0.9765625,Microwave_Oven
14.0,14.0,114.0,0.109375,Microwave_Oven
6.0,1.0,6.0,0.421875,BL_Stream
1.0,1.0,100.0,0.0078125,BL_Beacon
2.0,1.0,10.0,0.1171875,WiFi_Beacon
65.0,4.0,1.0,0.9765625,WiFi_Stream
77.0,77.0,51.0,0.6015625,Microwave_Oven
28.0,1.0,52.0,0.53125,Microwave_Oven
17.0,17.0,102.0,0.1328125,BL_Beacon
18.0,18.0,101.0,0.140625,BL_Beacon
10.0,10.0,118.0,0.078125,BL_Beacon
9.0,1.0,6.0,0.46875,BL_Stream
112.0,2.0,1.0,0.984375,WiFi_Stream
63.0,9.0,52.0,0.5625,Microwave_Oven
4.0,1.0,14.0,0.234375,BL_Stream
3.0,1.0,10.0,0.25,BL_Stream
2.0,1.0,12.0,0.125,WiFi_Beacon
5.0,1.0,10.0,0.390625,BL_Stream
56.0,5.0,1.0,0.96875,WiFi_Stream
105.0,1.0,15.0,0.859375,Microwave_Oven
82.0,1.0,1.0,0.984375,WiFi_Stream
92.0,35.0,1.0,0.9921875,WiFi_Stream
2.0,2.0,63.0,0.015625,BL_Beacon
4.0,1.0,11.0,0.3359375,BL_Stream
68.0,22.0,1.0,0.984375,WiFi_Stream
4.0,1.0,12.0,0.2421875,BL_Stream
87.0,1.0,13.0,0.734375,Microwave_Oven
8.0,6.0,107.0,0.109375,BL_Beacon
5.0,1.0,11.0,0.2734375,BL_Stream
5.0,1.0,13.0,0.28125,BL_Stream
36.0,3.0,79.0,0.375,Microwave_Oven
3.0,1.0,12.0,0.2890625,BL_Stream
82.0,82.0,46.0,0.640625,Microwave_Oven
4.0,1.0,8.0,0.2421875,BL_Stream
66.0,1.0,1.0,0.984375,WiFi_Stream
118.0,1.0,1.0,0.984375,WiFi_Stream
5.0,1.0,8.0,0.359375,BL_Stream
70.0,15.0,1.0,0.984375,WiFi_Stream
4.0,1.0,13.0,0.375,BL_Stream
2.0,2.0,96.0,0.015625,BL_Beacon
99.0,1.0,9.0,0.875,Microwave_Oven
72.0,18.0,1.0,0.984375,WiFi_Stream
4.0,1.0,13.0,0.328125,BL_Stream
26.0,10.0,88.0,0.28125,Microwave_Oven
19.0,4.0,104.0,0.1796875,Microwave_Oven
2.0,1.0,20.0,0.109375,WiFi_Beacon
6.0,1.0,8.0,0.4140625,BL_Stream
3.0,1.0,49.0,0.0390625,BL_Beacon
17.0,17.0,91.0,0.1328125,BL_Beacon
40.0,4.0,1.0,0.96875,WiFi_Stream
4.0,1.0,18.0,0.234375,BL_Stream
4.0,1.0,6.0,0.4375,BL_Stream
44.0,1.0,23.0,0.578125,Microwave_Oven
93.0,1.0,1.0,0.984375,WiFi_Stream
81.0,5.0,1.0,0.984375,WiFi_Stream
53.0,53.0,75.0,0.4140625,Microwave_Oven
17.0,17.0,64.0,0.1328125,BL_Beacon
12.0,1.0,110.0,0.1015625,BL_Beacon
7.0,1.0,10.0,0.375,BL_Stream
2.0,1.0,11.0,0.1171875,WiFi_Beacon
98.0,7.0,1.0,0.984375,WiFi_Stream
3.0,3.0,110.0,0.0234375,BL_Beacon
8.0,1.0,6.0,0.4453125,BL_Stream
57.0,5.0,57.0,0.546875,Microwave_Oven
7.0,1.0,11.0,0.28125,BL_Stream
72.0,15.0,2.0,0.9765625,WiFi_Stream
96.0,8.0,1.0,0.984375,WiFi_Stream
3.0,1.0,10.0,0.2578125,BL_Stream
